site,PFT,drought_year,legacy_years_length,no_record,aridity,mean_T,precipitation_seasonality,temperature_seasonality,age,height,species_richness,rooting_depth,mean_wood_density,sd_wood_density,mean_P50,sd_P50,mean_HSM50,sd_HSM50,aridity_zomer
AT-Neu,GRA,NA,NA,NA,1.094823509,6.803303446,2.455082004,1.203712665,NA,NA,NA,233.8393402,NA,NA,NA,NA,NA,NA,1.1835
AU-ASM,SAV,2011,2,0,0.209832889,23.1787264,5.163108308,0.280480684,NA,NA,NA,2678.101074,NA,NA,NA,NA,NA,NA,0.1225
AU-Cpr,SAV,2012,1,0,0.204663939,18.06174421,5.278642353,0.362831149,NA,NA,NA,2941.606934,NA,NA,NA,NA,NA,NA,0.1228
AU-Ctr,EBF,2014,1,0,3.210484165,24.07041133,2.504977696,0.087844341,NA,NA,NA,18124.13477,NA,NA,NA,NA,NA,NA,1.8756
AU-DaS,SAV,2020,1,1,0.701169992,26.8641535,3.371815289,0.101833772,NA,NA,NA,14586.7041,NA,NA,NA,NA,NA,NA,0.4811
AU-Gin,WSA,2016,2,0,0.376139249,18.32809229,3.117363574,0.273125823,NA,NA,NA,7094.759277,NA,NA,NA,NA,NA,NA,0.3205
AU-GWW,SAV,2014,1,0,0.225525959,19.58796895,5.090469508,0.326694155,NA,NA,NA,1891.852661,NA,NA,NA,NA,NA,NA,0.1058
AU-How,WSA,2017,1,0,0.835611156,27.21213884,2.847607811,0.07042598,NA,NA,NA,14877.07715,NA,NA,NA,NA,NA,NA,0.7536
AU-Rob,EBF,2019,1,0,1.035161712,19.308664,3.33386358,0.153473226,NA,NA,NA,16454.23047,NA,NA,NA,NA,NA,NA,1.5691
AU-Stp,GRA,2018,2,0,0.482538021,26.20102023,4.172995589,0.170907777,NA,NA,NA,9049.820313,NA,NA,NA,NA,NA,NA,0.2322
AU-Tum,EBF,2002,1,0,1.592608258,9.797350832,2.111107982,0.628485236,NA,NA,NA,10493.35547,NA,NA,NA,NA,NA,NA,1.1977
AU-Wom,EBF,2012,5,0,0.610759096,11.16224005,2.477516135,0.507004542,NA,NA,NA,10871.95801,NA,NA,NA,NA,NA,NA,0.8539
AU-Ync,GRA,2018,1,0,0.463471996,17.42792424,4.163660212,0.409815124,NA,NA,NA,4455.893555,NA,NA,NA,NA,NA,NA,0.2302
BE-Bra,MF,2018,1,0,0.935818541,11.11780253,2.116257703,0.551078339,89,21.7,5,1392.858643,0.550533462,0.048877012,-3.085923753,0.165373536,0.779059615,0.533292478,0.9488
BE-Vie,MF,2020,1,1,0.778893632,8.532364609,2.029484206,0.791193777,93,34.6,6,1539.109619,0.526743886,0.059111375,-3.357827441,0.409350947,0.385653067,0.655973861,1.3845
CA-Gro,MF,2009,1,0,0.800415896,3.712287982,1.840597001,3.29709136,87,31,6,1061.298096,0.452147056,0.076959105,-2.806729457,0.860907408,NA,NA,0.9495
CA-LP1,ENF,2014,1,0,0.689299494,3.771482295,2.567212024,2.743568225,NA,15,1,800.1713867,0.40724681,0,-3.341006884,0,1.642115,0,0.8811
CA-Obs,ENF,NA,NA,NA,0.51670071,1.152211865,2.839697102,11.37170055,122,11,5,1139.5896,0.490707496,0.030888048,-4.37601721,0,NA,NA,0.5658
CA-Qfo,ENF,2010,1,1,0.959979867,1.180638248,2.078715646,11.06649075,109,13.8,9,305.3731689,0.467654713,0.016521033,-4.164500272,0.593233032,NA,NA,1.3811
CA-TP1,ENF,2014,1,1,1.151782521,8.735591315,2.296788945,1.142352569,NA,NA,4,1541.504395,NA,NA,NA,NA,NA,NA,0.9861
CA-TP3,ENF,2012,1,0,1.115648105,8.896949583,2.296788945,1.145084944,NA,NA,3,2160.878174,NA,NA,NA,NA,NA,NA,0.9912
CH-Cha,GRA,2012,1,0,1.214253366,9.965931309,2.153260195,0.743234773,NA,NA,NA,720.8094482,NA,NA,NA,NA,NA,NA,1.3276
CH-Dav,ENF,2004,1,0,0.815614647,4.244629048,2.474933275,1.688728663,NA,NA,5,243.4501343,NA,NA,NA,NA,NA,NA,1.253
CH-Fru,GRA,2018,2,0,1.815797049,8.044900199,2.12117564,0.90842064,NA,NA,NA,1315.287964,NA,NA,NA,NA,NA,NA,1.7602
CH-Lae,MF,2006,1,0,NA,8.491266156,2.352898674,0.933515817,NA,NA,5,1011.319641,NA,NA,NA,NA,NA,NA,1.4474
CH-Oe1,GRA,2008,1,1,1.517561681,9.278505289,2.276699806,0.82570514,NA,NA,NA,954.6498413,NA,NA,NA,NA,NA,NA,1.2695
CZ-BK1,ENF,2004,1,0,1.219043816,7.374205168,2.305453792,1.077449387,33,NA,2,863.7527466,0.456361334,0.004060822,-3.726711008,0.002582732,0.8156,0.121777778,1.4453
CZ-BK1,ENF,2019,1,1,1.219043816,7.374205168,2.305453792,1.077449387,33,NA,2,863.7527466,0.456361334,0.004060822,-3.726711008,0.002582732,0.8156,0.121777778,1.4453
CZ-RAJ,ENF,2018,1,0,0.623933994,8.175610198,2.595815589,1.047214439,114,33,1,1642.413696,0.455955252,0,-3.726452734,4.46E-16,0.827777778,0,0.7472
CZ-Stn,DBF,2015,1,0,0.723388912,9.100947974,2.62698519,0.939419842,116,31,1,1811.330322,0.68202748,0,-2.644483542,0,0.86,0,0.9014
DE-Gri,GRA,2006,1,0,1.081979492,8.738366359,2.309387161,0.872196758,NA,NA,NA,1575.546875,NA,NA,NA,NA,NA,NA,0.9091
DE-Gri,GRA,2018,2,1,1.081979492,8.738366359,2.309387161,0.872196758,NA,NA,NA,1575.546875,NA,NA,NA,NA,NA,NA,0.9091
DE-Hai,DBF,2003,2,0,0.929531551,8.55784852,2.262030044,0.893160092,149,35,4,3378.362793,0.662494711,0.042495127,-2.645963068,0.188204779,0.689565217,0.258971281,1.0923
DE-Hai,DBF,2018,3,1,0.929531551,8.55784852,2.262030044,0.893160092,149,35,4,3378.362793,0.662494711,0.042495127,-2.645963068,0.188204779,0.689565217,0.258971281,1.0923
DE-Lnf,DBF,2003,2,0,0.784164442,5.899363414,2.715819454,1.376639098,128,35,1,2768.200928,0.68202748,0,-2.644483542,0,0.86,0,1.2108
DE-RuR,GRA,2015,1,0,1.16916973,8.303215264,2.071717731,0.790719558,NA,NA,NA,1560.974609,NA,NA,NA,NA,NA,NA,1.3819
DE-RuW,ENF,2013,1,0,NA,8.467308273,1.960148358,0.807830378,69,NA,1,1730.079102,0.455955252,0,-3.726452734,4.46E-16,0.827777778,0,1.6548
DE-Tha,ENF,2006,2,0,0.917122073,9.17806381,2.318201818,0.857719875,127,29.4,6,1499.212524,0.459520964,0.090953096,-3.598488373,0.2920621,0.884790127,0.099006623,0.8715
DE-Tha,ENF,2018,2,1,0.917122073,9.17806381,2.318201818,0.857719875,127,29.4,6,1499.212524,0.459520964,0.090953096,-3.598488373,0.2920621,0.884790127,0.099006623,0.8715
DK-Sor,DBF,1997,1,0,1.239868389,8.397044758,2.78541558,0.79025065,97,29.2,5,3210.595703,0.632428999,0.087453018,-2.921094248,0.481674466,0.874305556,0.051385097,0.776
ES-Agu,OSH,2014,1,1,0.234187117,17.24047023,4.817004414,0.316648246,NA,NA,NA,2728.588135,NA,NA,NA,NA,NA,NA,0.1482
ES-LJu,OSH,NA,NA,NA,0.518957415,11.69650768,4.627810764,0.618957838,NA,NA,NA,8769.936523,NA,NA,NA,NA,NA,NA,0.3649
